from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
BU,SRRG,6.0,2,0,1
BUB,CUR,12.0,2,1,1
BUB,FPS,31.0,2,1,1
BUDA,KPO,3.0,1,1,1
BUDA,MURD,5.0,1,1,1
BUDI,KOTA,38.0,16,1,1
BUDI,MLGH,68.0,5,1,1
BUDI,CNA,124.0,10,1,1
BUDI,SMPA,47.0,2,1,1
BUDI,SNAR,10.0,2,1,1
BUDI,THEA,14.0,2,1,1
BUDI,SGAC,38.0,1,1,1
BUGL,DPK,3.0,1,1,1
BUT,UTL,35.0,6,1,1
BW,SHGN,5.0,1,1,1
BWC,SGNR,15.0,2,1,1
BWC,FSW,8.0,1,1,1
BWC,SDS,14.0,1,1,1
BWK,SUI,9.0,3,0,1
BWL,HSI,24.0,2,0,1
BWL,MJNL,6.0,2,0,1
BWL,KRH,32.0,2,0,1
BWM,GOH,23.0,8,1,1
BWM,RMA,28.0,31,1,1
BWM,VMA,85.0,4,1,0
BWM,KOTA,101.0,18,1,1
BWM,SGZ,34.0,20,1,1
BWM,SVA,46.0,2,1,1
BWM,NAD,125.0,11,1,0
BWM,JHW,17.0,4,1,1
BWM,RTM,166.0,8,1,0
BWS,NGO,14.0,2,1,1
BWS,NOK,37.0,2,1,1
BXN,HAN,33.0,30,1,1
BXN,SMVJ,43.0,2,1,0
BXN,GGC,77.0,16,1,1
BXN,SWM,140.0,2,1,1
BXN,FSP,19.0,6,1,1
BXN,RBS,34.0,12,1,1
BXN,KOTA,249.0,2,1,1
BXN,FTS,48.0,1,1,0
CAG,RTA,39.0,10,1,0
CAG,SYL,16.0,8,1,1
CAG,GUNA,60.0,2,1,0
CHNN,CKS,10.0,4,1,1
CKB,SWM,22.0,12,1,1
CKB,ISA,17.0,10,1,1
CKB,SURL,9.0,4,1,1
CKB,DPZ,11.0,4,1,1
CKD,FGH,7.0,2,0,1
CKS,SAS,13.0,4,1,1
CMU,SVA,16.0,14,0,1
CMU,SGZ,29.0,6,0,1
CNA,MVJ,74.0,14,1,1
CNA,KOTA,162.0,4,1,1
CNA,GGR,14.0,2,1,1
CNA,COR,8.0,6,1,1
CNA,KIN,37.0,6,1,1
CNA,MLGH,56.0,1,1,1
CNL,GRI,10.0,1,1,1
COM,GND,11.0,4,1,1
COM,DKBJ,25.0,10,1,1
COM,RGS,28.0,6,1,1
COR,NBH,29.0,17,1,1
COR,MLGH,64.0,2,1,1
COR,KIN,35.0,11,1,1
COR,SMP,11.0,4,1,1
COR,NMH,56.0,22,1,0
COR,MVJ,72.0,6,1,1
COR,GGR,22.0,2,1,1
